"bathrooms","bedrooms","building_id","created","description","display_address","features","interest_level","latitude","listing_id","longitude","manager_id","photos","price","street_address"
1.5,3,"53a5b119ba8f7b61d4e010512e0dfc85","2016-06-24 07:54:24","A Brand New 3 Bedroom 1.5 bath ApartmentEnjoy These Following Apartment Features As You Rent Here? Modern Designed Bathroom w/ a Deep Spa Soaking Tub? Room to Room AC/Heat? Real Oak Hardwood Floors? Rain Forest Shower Head? SS steel Appliances w/ Chef Gas Cook Oven & LG Fridge? washer /dryer in the apt? Cable Internet Ready? Granite Counter Top Kitchen w/ lot of cabinet storage spaceIt's Just A Few blocks To L Train<br /><br />Don't miss out!<br /><br />We have several great apartments in the immediate area.<br /><br />For additional information 687-878-2229<p><a  website_redacted ","Metropolitan Avenue","[]","medium",40.7145,7211212,-73.9425,"5ba989232d0489da1b5f2c45f6688adc","[u'https://photos.renthop.com/2/7211212_1ed4542ec81621d70d1061aa833e669c.jpg', u'https://photos.renthop.com/2/7211212_7dfc41dced69245065df83d08eed4a00.jpg', u'https://photos.renthop.com/2/7211212_c17853c4b869af6f53af08b0f5820b4c.jpg', u'https://photos.renthop.com/2/7211212_787ad8ea0c089792e7453e2121f8ac89.jpg', u'https://photos.renthop.com/2/7211212_2e88b0d293ee333c804c2f00536eee49.jpg']",3000,"792 Metropolitan Avenue"
1.0,2,"c5c8a357cba207596b04d1afd1e4f130","2016-06-12 12:19:27","        ","Columbus Avenue","[u'Doorman', u'Elevator', u'Fitness Center', u'Cats Allowed', u'Dogs Allowed']","low",40.7947,7150865,-73.9667,"7533621a882f71e25173b27e3139d83d","[u'https://photos.renthop.com/2/7150865_be3306c5d89c6bfa755c6e89c9ed64d5.jpg', u'https://photos.renthop.com/2/7150865_655f861a1d5da70050010611016ae2ad.jpg', u'https://photos.renthop.com/2/7150865_5b8cc459f3abd38bc81cbf329dab3220.jpg', u'https://photos.renthop.com/2/7150865_2f59c34ca4ea98c26d559109a467ef84.jpg', u'https://photos.renthop.com/2/7150865_2258d2eb5b5fb4bc0eb6534929cdee15.jpg', u'https://photos.renthop.com/2/7150865_af28a5075bd321e694791645423dcdde.jpg', u'https://photos.renthop.com/2/7150865_714a3d63488162ebe4a22896dd5138f7.jpg', u'https://photos.renthop.com/2/7150865_8dda0ecbe4c6015d3e8dffe16808aa0b.jpg', u'https://photos.renthop.com/2/7150865_c4aabf346e295afda87d13c16f6f5659.jpg', u'https://photos.renthop.com/2/7150865_2de68908ea943dd96c925490c7f98297.jpg', u'https://photos.renthop.com/2/7150865_fc18c2e84683b567c9568ed7597f1ba8.jpg']",5465,"808 Columbus Avenue"
1.0,1,"c3ba40552e2120b0acfc3cb5730bb2aa","2016-04-17 03:26:41","Top Top West Village location, beautiful Pre-war building with laundry in the basement and live in super!<br/><br/>Apartment features a large bedroom with closet. Separate living room, kitchen features granite tops, dishwasher and microwave included, marble bathroom and hardwood flooring. Building is very well maintained and conveniently located near A,C,E,L,1,2,3 trains. Surrounded by many local cafe?s, restaurants, available for November 1st move in!<br/><br/>To view this apartment or any other please contact me via email or call at the number listed.<br/><br/><br/><br/><br/><br/>Bond New York is a real estate broker that supports equal housing opportunity.<p><a  website_redacted ","W 13 Street","[u'Laundry In Building', u'Dishwasher', u'Hardwood Floors', u'Pets Allowed Case by Case']","high",40.7388,6887163,-74.0018,"d9039c43983f6e564b1482b273bd7b01","[u'https://photos.renthop.com/2/6887163_de85c427363a2e6d736a5df96d8d5541.jpg', u'https://photos.renthop.com/2/6887163_b9cf6db6df611bc53f75be3214a43807.jpg', u'https://photos.renthop.com/2/6887163_cd3f2246cfd25691f33ed12b251d0230.jpg', u'https://photos.renthop.com/2/6887163_54c402cf0d681f6ea4796b9d177786bb.jpg', u'https://photos.renthop.com/2/6887163_7745da2a3693fe627154794ab0ebca29.jpg', u'https://photos.renthop.com/2/6887163_95c93e4af27182f8ac55c749fc74a041.jpg', u'https://photos.renthop.com/2/6887163_4b50a743b760e23b8d6f6f586a704da7.jpg', u'https://photos.renthop.com/2/6887163_6133523d6d5a0fba36bb25e3616848c8.jpg']",2850,"241 W 13 Street"
1.0,1,"28d9ad350afeaab8027513a3e52ac8d5","2016-04-18 02:22:02","Building Amenities - Garage - Garden - fitness room - laundry room -rooftop deck .<br /><br />Located in midtown East - High energy area - plenty of Bars and restaurants to choose from - within walking distance to the transit E,M,6,7<br /><br />This Apartment also feature a renovated kitchen with microwave - Marble Bath tiles.<br /><br />Call or Email and Text for Exclusive Showing!!<br /><br />**NO FEE**<br /><br /><br /><br /><br /><br /><br /><br /><br /><br /><p><a  website_redacted ","East 49th Street","[u'Hardwood Floors', u'No Fee']","low",40.7539,6888711,-73.9677,"1067e078446a7897d2da493d2f741316","[u'https://photos.renthop.com/2/6888711_6e660cee4f508b476568a4b4c1160c20.jpg', u'https://photos.renthop.com/2/6888711_44fddcd3ff7fb74ea124088279f97d6d.jpg', u'https://photos.renthop.com/2/6888711_c02413a59cbba49e7a8b7fe0b70d7cb3.jpg']",3275,"333 East 49th Street"
1.0,4,"0","2016-04-28 01:32:41","Beautifully renovated 3 bedroom flex 4 bedroom apartment for rent. Available immediately. Elevator building. Exposed brick walls. Hardwood floors through the apartment. Kitchen has wood kitchen cabinets and stainless steel appliances including a dishwasher and a microwave. Unit has a washer and dryer. Bathroom has ceramic wall and floors tiles and lots of storage. Apartment is very sunny and spacious. Available immediatelyPlease contact/email/text Jessica for an appointment ","West 143rd Street","[u'Pre-War']","low",40.8241,6934781,-73.9493,"98e13ad4b495b9613cef886d79a6291f","[u'https://photos.renthop.com/2/6934781_1fa4b41a929865b9a5443fdaf78d0147.jpg', u'https://photos.renthop.com/2/6934781_742045d91f2a0c9acbd939cecb59f1c9.jpg', u'https://photos.renthop.com/2/6934781_b953217e5ee408dee03fc0e26247f8bb.jpg']",3350,"500 West 143rd Street"
2.0,4,"38a913e46c94a7f46ddf19b756a9640c","2016-04-19 04:24:47","        ","West 18th Street","[]","medium",40.7429,6894514,-74.0028,"b209e2c4384a64cc307c26759ee0c651","[u'https://photos.renthop.com/2/6894514_9abb859205a2031a9bc6dc659aa741ea.jpg', u'https://photos.renthop.com/2/6894514_cc51ff895fb812a549f423e40d7f7bef.jpg', u'https://photos.renthop.com/2/6894514_ab18ba34a854348a3d39bfacf50132b9.jpg', u'https://photos.renthop.com/2/6894514_57a36233fd39b3f01f7a181326e72668.jpg', u'https://photos.renthop.com/2/6894514_f419550ca31213bae01100e2eb8bbf09.jpg']",7995,"350 West 18th Street"
1.0,2,"3ba49a93260ca5df92fde024cb4ca61f","2016-04-27 03:19:56","Stunning unit with a great location and lots of natural light. Close to the subway line or a nice walk to Columbia University.Near many restaurants to choose from, place of worship and shops. Call/Email Helen and I will work on finding the right place for you :)kagglemanager@renthop.com 766-103-4663Hablo espanol!Building Amenities:* Open Kitchen with stainless steel* Great cabinet space* Good amount of closet space* Subway (1 Trains)Contact me to show you all Bohemia Realty Group has to offer 766-103-4663 kagglemanager@renthop.com espanol! - See more at:  website_redacted ","West 107th Street","[u'prewar', u'elevator', u'Dogs Allowed', u'Cats Allowed', u'LOWRISE', u'SIMPLEX', u'HARDWOOD', u'No Fee']","low",40.8012,6930771,-73.966,"01287194f20de51872e81f660def4784","[u'https://photos.renthop.com/2/6930771_7e3622b6abca46fea02b39f714850f9b.jpg', u'https://photos.renthop.com/2/6930771_630f560bd2fea808d7dd58748eb2e1fb.jpg', u'https://photos.renthop.com/2/6930771_6edf1c34557dc0fc59018b9f1b029a6a.jpg', u'https://photos.renthop.com/2/6930771_a2217dd8b93806ae97bd85834933409e.jpg', u'https://photos.renthop.com/2/6930771_b6317ca5f56822f4f6df8c257ee95ca8.jpg', u'https://photos.renthop.com/2/6930771_8c00c077e426d5372c739078fd1b0b98.jpg', u'https://photos.renthop.com/2/6930771_7b625c77bef492ba2e39fd5c0b0ba888.jpg', u'https://photos.renthop.com/2/6930771_c094ad93f943a4487f810df862d45a86.jpg', u'https://photos.renthop.com/2/6930771_5c1cc67658917b72795f8c516cb8f760.jpg', u'https://photos.renthop.com/2/6930771_ababc7c07a81706b2bee48a3bb390f6a.jpg']",3600,"210 West 107th Street"
2.0,1,"0372927bcb6a0949613ef5bf893bbac7","2016-04-13 06:01:42","This huge sunny ,plenty of lights 1 bed/2 bath offers you a brand new  kitchen,open to the living space, with stainless steel appliances,granite counters,plenty of  cabinet spaces ,dishwasher,micro,marble bath with stand up shower and foldable closets throughout the apartment and your OWN OUTDOOR SPACE!!!The building comes with an elevator,gym,laundry,24 hour doorman and beautiful roof deck/terrace with breathtaking view to the city!gut reno,ss app,dish washer,closets,marble bath,laundry,elevator,drmn,gym,roofdeck<br /><br />Your future new apartment is located in west Chelsea,near amazing restaurants ,shops,art galleries and nightlife!Close to the famous Highline, Chelsea Piers and the Chelsea Market<br /><br />Call or e mail me for any further information or to schedule a viewing.As an expert of the area, I have access to all available apartments.I look forward to help you finding your dream home!<br /><br /><p><a  website_redacted ","West 21st Street","[u'Doorman', u'Elevator', u'Pre-War', u'Terrace', u'Laundry in Unit', u'Dishwasher', u'Hardwood Floors', u'Outdoor Space']","low",40.7427,6867392,-73.9957,"e6472c7237327dd3903b3d6f6a94515a","[u'https://photos.renthop.com/2/6867392_b18283f6bc64bf385b4be02e209ccd23.jpg', u'https://photos.renthop.com/2/6867392_c9e39d2772ab5c501630ee5e9a6363d7.jpg', u'https://photos.renthop.com/2/6867392_db8f0216c0c98788e08692b637882aa7.jpg', u'https://photos.renthop.com/2/6867392_c75146d01bcfcaf107a41354babad481.jpg', u'https://photos.renthop.com/2/6867392_0db18560048b696d766297435d2a40a8.jpg']",5645,"155 West 21st Street"
1.0,1,"a7efbeb58190aa267b4a9121cd0c88c0","2016-04-20 02:36:35","<p><a  website_redacted ","Hamilton Terrace","[u'Cats Allowed', u'Dogs Allowed', u'Elevator', u'Laundry In Building']","medium",40.8234,6898799,-73.9457,"c1a6598437b7db560cde66e5a297a53f","[u'https://photos.renthop.com/2/6898799_3759be4c83e7da17e864e58225be8ad5.jpg', u'https://photos.renthop.com/2/6898799_e17c60f3d2e85b98c19f45527a21f3b6.jpg', u'https://photos.renthop.com/2/6898799_31105b3786c2aa5cbed8706b8f614786.jpg', u'https://photos.renthop.com/2/6898799_b6d6e9b2d7bda4391232594db62482ba.jpg', u'https://photos.renthop.com/2/6898799_537af9825e1aba2601bf6c2637b93647.jpg']",1725,"63 Hamilton Terrace"
2.0,4,"0","2016-04-02 02:58:15","This is a spacious four bedroom with every bedroom able to fit queen sized beds with windows and closets and room to spare.  There are ceiling fans and Exposed brick scattered throughout the apartment.  It also has High ceilings, great hardwood floors, an excellent open kitchen with a dishwasher and room for a table, Really great living room that fits a wrap around couch and windows throughout the apartment.<br /><br />Located in the heart of the lower East side you can't help but notice all the neighborhood bars, restaurants, cafes, and boutique shopping.<br /><br />Call, text, or e-mail me today to set up a private viewing.<br /><br /><br /><br />-------------Listing courtesy of Miron Properties. All material herein is intended for information purposes only and has been compiled from sources deemed reliable. Though information is believed to be correct, it is presented subject to errors, omissions, changes or withdrawal without notice.  Miron Properties is a licensed Real Estate Broker.  www.MironProperties.com<p><a  website_redacted ","522 E 11th","[u'Dishwasher', u'Hardwood Floors']","low",40.7278,6814332,-73.9808,"23a01ea7717b38875f5b070282d1b9d2","[u'https://photos.renthop.com/2/6814332_e19a8552bf33fe98e92ec4d1dc1e00ef.jpg', u'https://photos.renthop.com/2/6814332_5d06654341b0e3c2b82d76a5128c1326.jpg', u'https://photos.renthop.com/2/6814332_766d0b8597bcf7bb06a9e35b5a9fe96a.jpg', u'https://photos.renthop.com/2/6814332_ca1b0cd19bbb216fadf4967f3aeb405a.jpg', u'https://photos.renthop.com/2/6814332_3e2accbf6dfc5c8b78ea73a401bc29e0.jpg', u'https://photos.renthop.com/2/6814332_0f109a6ac606738b6bc4bdc89b01f9bd.jpg', u'https://photos.renthop.com/2/6814332_65acc97098d6a2de307d0699fa0ce95b.jpg', u'https://photos.renthop.com/2/6814332_84d2d1e9a9bb0a1fbefb9c13c7c6b425.jpg', u'https://photos.renthop.com/2/6814332_565a96563c0a1c6fa7a8a3f26f5a24fe.jpg']",5800,"522 E 11th"
