Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
6547258,"The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0575089911""","=""9780575089914""",0,4.45,Gollancz,Paperback,647,2009,2006,,2019/10/03,currently-reading,currently-reading (#7),currently-reading,,,,1,,,0,,,,,
34446112,Fragile Things: Short Fictions and Wonders,Neil Gaiman,"Gaiman, Neil",,"=""0062699547""","=""9780062699541""",0,4.00,William Morrow Paperbacks,Paperback,400,2018,2006,,2019/10/02,currently-reading,currently-reading (#6),currently-reading,,,,1,,,0,,,,,
2913377,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""0575081406""","=""9780575081406""",5,4.54,Gollancz,Paperback,662,2008,2007,2019/09/30,2019/09/19,,,read,,,,1,,,0,,,,,
35820369,The Rise and Fall of the Dinosaurs: A New History of a Lost World,Stephen Brusatte,"Brusatte, Stephen",,"=""0062490427""","=""9780062490421""",0,4.17,William Morrow,Hardcover,404,2018,2018,,2019/09/22,to-read,to-read (#63),to-read,,,,0,,,0,,,,,
35133922,Educated,Tara Westover,"Westover, Tara",,"=""0399590501""","=""9780399590504""",0,4.48,Random House,Hardcover,334,2018,2018,,2019/09/22,to-read,to-read (#62),to-read,,,,0,,,0,,,,,
3428935,"The Warded Man (Demon Cycle, #1)",Peter V. Brett,"Brett, Peter V.",,"=""0345503805""","=""9780345503800""",0,4.26,Random House,Hardcover,416,2009,2008,,2019/09/19,to-read,to-read (#61),to-read,,,,0,,,0,,,,,
51964,"Old Man's War (Old Man's War, #1)",John Scalzi,"Scalzi, John",,"=""0765348276""","=""9780765348272""",0,4.24,Tor Books,Mass Market Paperback,351,2007,2005,,2019/09/16,to-read,to-read (#60),to-read,,,,0,,,0,,,,,
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",0,3.96,Alfred A. Knopf,Hardcover,241,2006,2006,,2019/09/16,to-read,to-read (#59),to-read,,,,0,,,0,,,,,
667,Anthem,Ayn Rand,"Rand, Ayn",,"=""0452281253""","=""9780452281257""",0,3.63,NAL,Paperback,105,1999,1938,,2019/09/16,to-read,to-read (#58),to-read,,,,0,,,0,,,,,
11297,Norwegian Wood,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0375704027""","=""9780375704024""",0,4.03,Vintage Books,Paperback,296,2000,1987,2019/09/16,2019/09/14,,,read,,,,1,,,0,,,,,
